omega,alpha,beta
0.31406145899795773,0.23386980467637666,0.4567507005899263
0.31202219581061036,0.23334110273487066,0.4736667536004925
0.32514072259148663,0.22359163443373745,0.4613293268623043
0.33349338063018436,0.22236617073106776,0.4643141892319622
0.3187689849248566,0.21162734935481936,0.47631035370048735
0.30839842450684346,0.2152435593302203,0.47304469569186414
0.3133867565253204,0.1948180342342226,0.4800567397902978
0.30311368008140094,0.21016581476454155,0.47556311337669344
0.31370664578411267,0.20555920631488553,0.5050435500968623
0.29833198356207385,0.19937899691262082,0.4982046699196688
0.29327965072325696,0.2119517333307728,0.4996337421038612
0.2839392208752406,0.21628511910162587,0.4967223464747025
0.3057447549209482,0.23601691773938244,0.4736629823714332
0.2957487749899733,0.2695276743032008,0.46057701042742843
0.3130022144338463,0.2662910491979893,0.4528028645114826
0.3283150213164345,0.26223170955263614,0.45356615699429975
0.30448021917270496,0.2546121101804781,0.4569177798097912
0.2939777069036091,0.2542117828650068,0.4753030895820624
0.29686221539414537,0.24308118309720575,0.468527195569946
0.3115739884549581,0.2545184329733696,0.4341537205102202
0.33700391097948246,0.2540739332362393,0.42850536799535693
0.3420112714487353,0.2476058392423891,0.4183594346177408
0.3499822054694427,0.24389385031004066,0.40608167519760097
0.34715113837029604,0.23657368258841124,0.4436967392725784
0.32375166023439095,0.23728266093562422,0.44101219440130923
0.31975319537687336,0.25324532374980385,0.43213807482574534
0.32817954975688135,0.21855650409205385,0.45523523913117125
0.3297497202096255,0.23315310482504073,0.46770975010752336
0.3159061180740956,0.21945081736535324,0.4703859647774075
0.319247800786984,0.23258951545496012,0.46932157111763423
0.32551796967654323,0.23022718614944637,0.4559615671217544
0.3220385542970817,0.2174724787171906,0.4692162488241367
0.3165913891029266,0.21832616257975718,0.4737826336083404
0.32898179067818667,0.21455375976296054,0.45717463784272117
0.33354049574505823,0.20784539563774762,0.46458032000978877
0.3411009806430907,0.20483814317059976,0.46754803546538126
0.3388664626299444,0.22092457877979094,0.4659994838117611
0.28911806194030315,0.24301504491876189,0.4721095518176534
0.30618527140373464,0.23359183316685364,0.4582333265596507
0.3063739541461338,0.20536491539604823,0.49628176045442224
0.3055563525737517,0.2136956314534632,0.48848481181179876
0.29458958212239444,0.2008554175965414,0.5006685476110153
0.2748455775982123,0.23084564777887498,0.5059770694299848
0.27273175207369293,0.22536819930901794,0.5154558562035814
0.269918540378326,0.21639503683887756,0.5070988097123836
0.2884765256087351,0.2231530448136348,0.5144040699299575
0.29198026738413435,0.18785148080200997,0.5248075022160743
0.27393471250853074,0.21758637459648333,0.5285811822388204
0.24117268241560477,0.2418439613530126,0.5205646654446333
0.26025723940072254,0.22775748853478173,0.5377101301770065
0.2567033031753252,0.22524910531990983,0.5183483773626996
0.28518798351249786,0.1916065620829172,0.5334826496248944
0.294299612493226,0.18833406696773014,0.532684828478516
0.2846113403407979,0.20452319079247208,0.5251401447315439
0.2871604146544024,0.22157324679974125,0.5137882361606987
0.2700448492794884,0.2337828809907586,0.5116665868009739
0.2766579408668543,0.23197622815376187,0.5088920520955447
0.2766850762917784,0.2253193186762078,0.5099475433094502
0.2749311915702563,0.23868550543886935,0.5018993067069447
0.27098036688581056,0.21046320222147957,0.5169024443683401
0.2642604970087304,0.21391860917217698,0.5248727706538144
0.27787609451267575,0.20600703490841146,0.511930542104415
0.28932711606564543,0.22445892908105847,0.5105543324892291
0.30369472605000575,0.21398315276902416,0.5069251457147301
0.3044181558452335,0.202284289690503,0.5123633077730722
0.30012265425109647,0.20180334090061955,0.4973384537751077
0.32766782594577964,0.19790902548447264,0.4842854666434671
0.3264243844240946,0.20676082295044507,0.4648156293118642
0.3370196904770457,0.22914841513088907,0.4794319568593408
0.34175194120670876,0.24848053447326302,0.44886787326108785
0.32713064708640965,0.2371200096099237,0.4600960447153359
0.33059318471797766,0.2363320960616298,0.4440342819044291
0.3268170055449641,0.23552506743434024,0.45051472567663614
0.3363102768013509,0.2219070299214449,0.44736890133067897
0.32812452025462335,0.23144295508117152,0.45966012884967894
